

2025-05-11 pmGMT+7 18:56:49,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Left Money,0,0,0,0


2025-05-11 pmGMT+7 19:11:30,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Other: อออ,0,30,-30
,Left Money,0,0,-30,-30


2025-05-11 pmGMT+7 19:11:46,Get money,100,0,100
,Breakfast Cost,0,0,100
,Lunch Cost,0,0,100
,Dinner Cost,0,0,100
,Left Money,0,0,100,70


2025-05-11 pmGMT+7 19:12:14,Get money,100,0,100
,Breakfast Cost,0,25,75
,Lunch Cost,0,25,50
,Dinner Cost,0,25,25
,Other: ฟฟฟฟ,0,30,75
,Left Money,0,0,75,145


2025-05-18 pmGMT+7 14:49:41,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,20,-20
,Left Money,0,0,-20,125


2025-05-18 pmGMT+7 14:53:26,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,0,0
,Left Money,0,0,0,125


2025-05-18 pmGMT+7 14:53:28,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,0,0
,Left Money,0,0,0,125


2025-05-18 pmGMT+7 14:53:31,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,50,-50
,Left Money,0,0,-50,75


2025-05-18 pmGMT+7 15:03:24,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,5,-5
,Left Money,0,0,-5,70


2025-05-18 pmGMT+7 15:26:37,Get money,0,0,0
,Breakfast Cost,0,0,0
,Lunch Cost,0,0,0
,Dinner Cost,0,0,0
,Save to Bank,0,50,-50
,Left Money,0,0,-50,20
